FORPRINT: Fri Nov  8 17:05:03 2013
      0.59330169    -0.012454966
      0.68824651    -0.012666555
      0.73724864    -0.013277245
      0.74868199    -0.012805959
      0.81732161    -0.013098093
      0.81336565    -0.016102583
      0.81336501    -0.016102370
      0.81336513    -0.016102013
      0.81354145    -0.014773979
      0.81354202    -0.014773701
      0.81732226    -0.013098113
      0.81539046    -0.013865262
      0.81732265    -0.013098097
      0.81539093    -0.013864467
      0.88202127    -0.014595679
      0.89583659    -0.011022774
      0.89549403    -0.011084992
      0.89549403    -0.011084992
      0.89583659    -0.011022774
      0.90025215    -0.011018319
      0.90032587    -0.011927494
      0.90036617    -0.011612723
      0.90032587    -0.011927494
      0.90036617    -0.011612723
      0.90025215    -0.011018319
      0.90136036    -0.011305321
      0.92918825    -0.012288934
       6.2671000   -0.0053336013
       6.2679622   -0.0068203202
      0.30821341   -0.0048529573
      0.31851778   -0.0044061070
      0.31833576   -0.0060203712
      0.31833576   -0.0060203712
      0.64380313   -0.0042677924
      0.77404320   -0.0054002268
      0.77404333   -0.0054007728
      0.80945817   -0.0070684105
      0.80945823   -0.0070682809
      0.83783628   -0.0077405085
      0.83783624   -0.0077402093
      0.84108132   -0.0058136731
      0.84108122   -0.0058135526
      0.84540837   -0.0042148206
      0.84540881   -0.0042142491
      0.90075354   -0.0054396453
      0.97931322   -0.0053034624
       6.1546142    0.0014146366
       6.1542383    0.0014308779
       6.1542386    0.0014309955
       6.1546142    0.0014146366
       6.1542386    0.0014309955
       6.1542383    0.0014308779
      0.52473842    0.0034779944
      0.71825377    0.0024807246
      0.71825326    0.0024792255
      0.71812099    0.0020509131
      0.72759441    0.0024555723
      0.72759457    0.0024553316
      0.83702195    0.0027654852
      0.83646448    0.0025859196
      0.83702185    0.0027655424
      0.83646447    0.0025858860
      0.83702185    0.0027655424
      0.83702195    0.0027654852
      0.83646448    0.0025859196
      0.83646447    0.0025858860
      0.83842093   0.00054737998
      0.83842046   0.00054749770
      0.83842059   0.00054742083
      0.88481487   0.00047845887
      0.88481500   0.00047719963
      0.88481500   0.00047756817
      0.88474712   0.00023865270
      0.88474743   0.00023786660
      0.98178938    0.0017831461
       6.1921844    0.0080892145
       6.2103190    0.0077227600
       6.2651483    0.0097376496
      0.51867522    0.0099193894
      0.67495713    0.0098148749
      0.67480830    0.0096046777
      0.67487487    0.0092030830
